ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area flooded,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2020 euro),Cause,Notes,References,Changes
902,IT,1993,Italy,8/20/1993,8/20/1993,Flash,Sabato,ITF34,ITF34,,2,,,,,Extreme rainfall,,CNR (2023),
206,FR,1993,France,9/23/1993,9/25/1993,River,Arc; Garonne; Lez; Rhone,FR712;FR713;FR717;FR812;FR824;FR826,FRK22;FRK23;FRK27;FRJ12;FRL04;FRL06,255,9,1700,3320000000,FRF,717215439,Heavy rainfall,Mudslides and worst flood in 35 years in the Savoie region,Barredo (2007); Brakenridge (2022); EEA (2015); Biteau and Bertrand (2004); Papagiannaki et al. (2022),Updated
903,IT,1993,Italy,9/23/1993,10/1/1993,River,Adda; Po; Ticino,ITC11;ITC20;ITC33;ITC42;ITC48;ITC4A;ITC4B;ITC4C;ITC4D,ITC11;ITC20;ITC33;ITC42;ITC48;ITC4A;ITC4B;ITC4C;ITC4D,,9,1500,1E+12,ITL,896687248,"Heavy rainfall, up to 525 mm in 4 days in Genoa",Also landslides,Barredo (2007); Brakenridge (2022); Faccini et al. (2015); APAT (2005); CNR (2023); Papagiannaki et al. (2022),Updated
1462,CH,1993,Switzerland,9/23/1993,10/14/1993,River,Lake Maggiore; Rhone,CH012;CH070,CH012;CH070,,2,,750000000,CHF,774444786,"Heavy rainfall, more than 100 mm/day",Highest water level on Lake Maggiore since 1868 recorded,Barredo (2007); Brakenridge (2022); Stucki et al. (2013); Hilker et al. (2009); Sturmarchiv Schweiz (2022),Corrected
208,FR,1993,France,9/30/1993,10/9/1993,River,Var; Rhône; Lez,FR713;FR812;FR823;FR826,FRJ12;FRK23;FRL03;FRL06,130,2,,830000000,FRF,179303860,Heavy rainfall up to 834 mm between 9 September and 12 October,,EEA (2015); Meteo France (2022); Papagiannaki et al. (2022),Updated
2747,IT,1993,Italy,10/8/1993,10/9/1993,Flash,Adda; Arno,ITC16;ITC18;ITC47;ITH42,ITC16;ITC18;ITC47;ITH42,,2,,,,,Extreme rainfall up to 70 mm in 24 h,,CNR (2023); Papagiannaki et al. (2022),New
904,IT,1993,Italy,10/8/1993,10/9/1993,Flash,Arno; Ardenza,ITI14;ITI17,ITI14;ITI17,,3,800,,,,Extreme rainfall up to 50 mm in 4 h,,CNR (2023),
209,FR,1993,France,10/31/1993,11/2/1993,Flash,Rizzanese ,FR831;FR832,FRM01;FRM02,,6,,700000000,FRF,151220123,Extreme rainfall up to 922 mm in 36 h,Losses also estimated above 2 bln FRF,Brakenridge (2022); Meteo France (2022); Wikipedia (2017w); DGPR (2022); DREAL Corse (2019),
905,IT,1993,Italy,10/31/1993,11/2/1993,Flash,Platani; Cixerri,ITG14;ITG27,ITG14;ITG2F;ITG2H,,1,,,,,Extreme rainfall,,Regione Siciliana (2021); CNR (2023); Papagiannaki et al. (2022),Updated
2504,SK,1993,Slovakia,11/1/1993,11/30/1993,River,Danube; Uh,SK010;SK042,SK010;SK042,,0,,367000000,SKK,30188653,Heavy rainfall,Daily dates approximate,Enviroportal (2013),New
906,IT,1993,Italy,11/3/1993,11/4/1993,Flash,Asso,ITF45,ITF45,,1,,,,,Extreme rainfall,,CNR (2023),
907,IT,1993,Italy,11/25/1993,11/25/1993,Flash,Frisinga; Lavinato,ITG17;ITG19,ITG17;ITG19,,3,,,,,Extreme rainfall,,CNR (2023); Papagiannaki et al. (2022),
2709,CZ,1993,Czechia,12/19/1993,12/22/1993,River,Otava,CZ020;CZ032,CZ020;CZ032,,1,,,,,Heavy rainfall up to 94 mm in 24 h and snowmelt,,Papagiannaki et al. (2022); Brazdil (2005); Lett et al. (1994),New
35,BE,1993,Belgium,12/20/1993,1/1/1994,River,Meuse; Sambre; Semois; Scheldt; Dender; Leie,BE223;BE231;BE234;BE326;BE331;BE332;BE343;BE345;BE351;BE352,BE223;BE231;BE234;BE32D;BE331;BE332;BE343;BE345;BE351;BE352,,1,2500,600000000,BEF,22786829,"Heavy rainfall, up to 437 mm",In Namur province Meuse reached highest level in 20th century,CRED (2023); Barredo (2007); Brakenridge (2022); La météo (2023); Heyse (1997),Updated
210,FR,1993,France,12/20/1993,12/31/1993,River,Seine; Oise; Marne,FR211;FR221;FR222;FR412,FRF21;FRE21;FRE22;FRF32,,4,8000,3400000000,FRF,734497739,"Heavy rainfall, up to 100 mm in 2 days, and snowmelt",,CRED (2023); Barredo (2007); Brakenridge (2022); EEA (2015),
